question_text,flags
"In what year did Margaret Thatcher become the longest-serving British Prime Minister of the 20th century, Roy Orbison died aged 52, and Marco van Basten inspired the Netherlands to Euros success?",politics
Who recently announced he was stepping down as the prime minister of Canada?,politics
Which famous British politician was played by American actor John Lithgow in the first season of the Netflix series 'The Crown'?,politics
"Of these capital cities, tap only the ones whose countries end in 'stan'.",politics
Shigeru Ishiba was recently sworn in as the 65th prime minister of what country?,politics
"What word can go before 'meat', 'dog', and 'roll'?",pork
Tap only the films with Kevin Bacon in the cast.,pork
"With his first post coming from UFC 302, which politician recently joined TikTok - despite trying to ban it while president of the USA?",politics
Israel declared independence in what year?,politics
"In what year did Katy Perry and Russell Brand divorce, the TV series 'Veep' made its debut, and Mitt Romney lost the US presidential election?",politics
In which year did the Spanish dictator General Franco die?,politics
"Only two places in the world do not allow their citizens to divorce under any circumstance. One is the Philippines, where is the other?",
Tap these letters to spell a capital city in Asia.,politics
Pictured here is the President of Ireland. What is his name?,politics
With which of the arts is the name Francis Bacon associated?,pork
Which American political party is also referred to as the Grand Old Party?,politics
"Which British politician said ""You can always count on Americans to do the right thing...after they've tried everything else""?",politics
"If ""Your Majesty"" is the correct diplomatic way to address the King of England, what is the correct diplomatic way to address the President of the United States, as used by the UN?",politics
Fathers in Tv: Name the TV Show,pork
"What is the Italian word for ham, but used in English to refer to dry-cured ham?",pork
In what year did Thabo Mbeki succeed Nelson Mandela to become the second president of South Africa; legendary film director Stanley Kubrick passed away; and the term 'carbon footprint' was first added to the Merriam-Webster dictionary?,politics
'Yes We Can' was a political slogan used by which candidate during the 2008 US presidential election?,politics
In what year did China fully open its borders to foreign visitors for the first time following Covid-19; Chris Hipkins succeeded Jacinda Ardern as the prime minister of New Zealand; and the private military Wagner Group briefly rebelled against the Russian government?,politics
"As in the traditional story, name either of the materials that the first two pigs' homes are made with in the 'Three Little Pigs' fable?",pork
Gaza and the West Bank are the two main territories of what partially recognised state?,politics
With which political party did Nelson Mandela become South Africa's first President in 1994?,politics
Olof Palme was assassinated in 1986. Which country was he the prime minister of?,politics
The politician Giorgia Meloni became Italy's first-ever female prime minister in 2022. Her name translates into English as Georgia Melons. Is this...?,politics
Streaky and back are varieties of what meat?,pork
"In what year did Jair Bolsonaro become president of Brazil; the Event Horizon Telescope took the first-ever image of a black hole; and, after seven years inside, Julian Assange left the Ecuadorian Embassy in London?",politics
Put these bombing campaigns of the Second World War in chronological order.,politics
"The Estadio Nacional in Chile was the venue for the 1962 FIFA World Cup final, but what was it being used as just 11 years later?",politics
What type of animal is a Muntjac?,
"What was the highest office held by Franklin Roosevelt, Jimmy Carter and Bill Clinton before they each became US president?",
"Having high-stakes meetings over tariffs, tech competition and the Iran War, Donald Trump recently visited what country for the first time since 2017?",politics
"Mohamed Morsi was elected president of which country in 2012, only to be deposed in a military coup the following year?",politics
Which country lies immediately north of Israel?,politics
Which American political party uses a donkey as a logo?,politics
"What word that goes after 'brat', 'bier' and 'gelb' is the German word for sausage?",pork
"Since the Islamic Revolution in 1979, all three Supreme Leaders of Iran have had LAST NAMES beginning with what letter?",politics
"What first name is shared by a 'Sesame Street' character, the 22nd President of the United States, and a legendary jazz saxophonist?",politics
Which actress is Israel's most followed celebrity on Instagram?,politics
Name this American politician.,politics
"As recently announced, NASA plans to spend $20 billion building a new base where?",
Which pre-school TV programme do these characters appear in?,pork
The Strait of Hormuz has been in the news recently. Is it...?,
With which country is Davy Crockett most associated?,politics
Name the politician pictured here recently being taken to court in New York.,politics
What is the name of the pig in the children's classic 'Charlotte's Web'?,pork
Rearrange these letters to spell out the name of a Spanish dictator.,politics
What word does the model Cara Delevingne have tattooed on the sole of her foot?,
In which year did Margaret Thatcher become the first female Prime Minister of the United Kingdom?,politics
"Starting with the most recent and working backwards, put these politicians in order of when they were the runner-up in a US presidential election.","politics,time_sensitive_phrase"
"Between 1957 and 1968, which famous American political figure served as the first President of the Southern Christian Leadership Conference?",politics
"In another bizarre animal-related anecdote, it recently came to light that which US politician once beheaded a dead whale and tied its head to the roof of a minivan, before setting off on a five-hour drive?","politics,time_sensitive_phrase"
"In the world of fairy tales and fables, how many Little Pigs had their houses blown down by the Big Bad Wolf?",pork
Which West Asian country is an anagram of the weather in this picture?,politics
From 2019 to 2023 Jair Bolsonaro was president of which South American country?,politics
"Which world leader did Donald Trump recently describe as a ""dictator""?",politics
"Native of New Zealand, what type of creature is a 'Kunekune'?",
"When Dmitry Medvedev was elected President of Russia in 2008, replacing Vladimir Putin for a few years, whom did he appoint as Prime Minister?",politics
"According to Wikipedia, what food represents spring on a traditional Four Seasons pizza?",
"In Israel, the title of the 2009 animated movie 'Cloudy with a Chance of Meatballs' was renamed 'It's Raining Falafel'. Is this...?",politics
"What type of sandwich is made with chicken, bacon, lettuce, tomato and mayonnaise and includes an extra slice of bread in the middle?",pork
"Tap these former football grounds in geographical order, from north to south.",pork
"Following the death of his father, Mojtabi Khamenei recently became the Supreme Leader of what country?",politics
"When a candidate is elected president of France, they also become a prince in what other European country?",politics
"Holding the post from 1991 to 1999, who was the first president of the Russian Federation following the collapse of the Soviet Union?",politics
Rindfleisch is a German word for what meat?,
"According to the Gospels of Matthew and Luke, in what town - which is now a city in Palestine - was Jesus born?",politics
Which U.S. state did Barack Obama become senator of in 2005?,politics
John Curtin was the prime minister of which country during the Second World War?,politics
The London embassy of which country was the scene of a six-day siege in 1980?,
"Featuring the voices of Seth Rogen, Kristen Wiig and Edward Norton, 'Foodtopia' is the subtitle of an Amazon Prime series spin-off of what 2016 adult cartoon movie?",pork
"Prior to his poisoning and imprisonment in 2020 and 2021, Alexei Navalny was the leader of an opposition political party in what country?",politics
"With regard to where they were born, tap the following celebrities in order to correspond with the countries...",
Tap only the countries that border Israel.,politics
"Specifically, what flavour Pringles are these?",pork
"To date, how many women have been president of the USA?",politics
"Also the country's biggest ethnic group, tap these letters in order to spell the surname of the party leader who won the recent election in Hungary.",politics
"In what year did Jacob Zuma resign as president of South Africa, and Marvel's 'Black Panther' became the first film played in Saudi Arabian cinemas since 1983?",politics
What last name is shared by an American politician (and former vice presidential nominee) named Sarah and a Python named Michael?,politics
"In between starting his career at Arsenal in 1973 and finishing it at West Ham in 1990, which Irish football star played in Italy for Juventus, Sampdoria, Inter and Ascoli?",pork
A guy named Péter Magyar will be the new prime minister of Hungary after winning the recent general election. But what does 'Magyar' mean in Hungarian?,"politics,time_sensitive_phrase"
Who was the first president of the United States?,politics
Which of these facts about Albert Einstein is false?,
Who was the first person to be elected President of the United States with no prior military or government service?,politics
"What type of non-violent protest is named after an English land agent in Ireland who, in 1880, was deliberately ostracised by all the locals as a protest against evictions and the rents he was charging tenants?",politics
"Pictured here wearing an Arsenal-themed traditional South Asian kurta for Eid recently, name this American politician.",politics
What is the name of the female politician who was New Zealand's prime minister from October 2017 until her shock resignation in January 2023?,politics
What type of meat is used in a McDonald's Sausage and Egg McMuffin?,pork
"During a recent interview alongside Volodymyr Zelenskyy, Donald Trump mistakenly stated that missiles had been fired at a US aircraft carrier by ""the Islamic Republic of...."" where?",politics
Which of these is considered a right wing political party in the UK?,politics
Hardline Muslim cleric Ebrahim Raisi was sworn in as the president of which Asian country in 2021?,politics
What two-word phrase is a slang name for a multi-billion dollar global industry that rhymes with what this woman is?,pork
"In recent news, former central banker Mark Carney and former Deputy Prime Minister Chrystia Freeland are among the politicians in the running to be the next prime minister of what country?","politics,time_sensitive_phrase"
The late flamboyant politician Silvio Berlusconi was a four-time prime minister of which country?,politics
"In the 'Harry Potter and the Chamber of Secrets' film, when Harry Potter first arrives at the Weasleys' home, how many pigs are seen in the pig pen?",pork
"In a word ladder puzzle, you change one letter in a word to make another word. Starting with 'Sty', tap these words in order to complete a word ladder down to the word 'Pig'.",pork
The name of what island has been blanked out on this placard held at a recent protest?,politics
"According to the UN, disconnecting people from the internet is a breach of human rights. Is this...?",politics
"The politician Shinzo Abe was assassinated in 2022. Having been in charge from 2006 to 2007 and again from 2012 to 2020, he was the longest-serving prime minister in which country's history?",politics
Lake Kinneret in Israel is known in the Bible as the 'Sea of...' where?,politics
"In 1974, five years before Margaret Thatcher became Prime Minister of the UK, which politician said, ""It will be years - and not in my lifetime - before a woman will lead the party or become Prime Minister""?",politics
"Squealer, Old Major, Napoleon and Snowball were the names of pigs in which famous book?",pork
What relative of the guinea pig is the largest rodent in the world?,pork
Who was the British prime minister at the beginning of the Iraq War?,politics
What colour is the building that the president of the USA traditionally resides in?,politics
"Who is this woman, who is not as famous as her politician dad?",politics
"Traditionally, what is the name of the pizza that includes the toppings ham and pineapple?",pork
"Ireland, Spain, Iceland and the Netherlands are among the countries to be boycotting what upcoming international music showpiece?",politics
"Of the 10 countries that only have four letters in their name, three begin with vowels. They are Iran, Iraq, and which other?",politics
Tap only the countries that border the Strait of Hormuz.,
The Tamworth is a breed of which common farmyard animal?,pork
Joe Biden served as vice president of the United States under which president?,politics
What do the letters 'JD' stand for with regard to the politician JD Vance?,politics
Who is the only former US president in history to have been indicted on federal criminal charges?,politics
"In the book of Exodus, God punished what country with 10 plagues?",
The name of what rodent is made up of an old-fashioned coin and a farm animal?,pork
Which hashtag protest movement was founded by Tarana Burke?,politics
"Mocked online for a lip sync fail, who is pictured here headlining this year's protest Super Bowl Halftime Show organized by Turning Point USA?","politics,time_sensitive_phrase"
Is this...?,
Which of these statements is true?,
Podgy Pig and Tiger Lily are friends of which fictional bear?,pork
"In Anna Sewell's novel, what is 'Black Beauty'?",
"In the 2024 movie 'The Wild Robot', the robot Roz has to take care of a baby what?",
"In the Bible, which king of Israel was also known as Jedediah?",politics
"What meat comes from calves, usually young male dairy calves?",
Which European country's parliament is called the Cortes Generales?,politics
'Storting' is the name of the parliament of which country?,politics
In what year did Richard Nixon beat George McGovern in the US presidential election?,politics
Former Liverpool and West Ham full-back Alvaro Arbeloa was recently appointed manager of which European club?,pork
"What material, famously used by a fictional pig to build a house, becomes the plural of a type of skin blemish when you reverse the letters?",pork
"In what year was Vladimir Putin elected as president of Russia for the third time, the Wii U games console was released, and Whitney Houston passed away?",politics
Who is the target of this protest poster that has been seen around London recently?,politics
Tap only the fairy tales that traditionally feature a big bad wolf.,
"Translating to 'We Ourselves', what two-word phrase is the name of a republican nationalist political party in both Ireland and Northern Ireland?",politics
"In what decade was the Slinky invented, Charlie Chaplin starred in the movie 'The Great Dictator', and Mahatma Gandhi was assassinated?",politics
"In February 2022, which British animated TV series got its own theme park in Winter Haven, Florida?",
"Until recently, this guy was the Supreme Leader of what country?",politics
"Of these Asian countries, tap only the ones with a larger population than Japan.",
"Following Adolf Hitler's suicide, which Nazi politician briefly became Chancellor of the German Reich, before he too committed suicide?",politics
Who is the current vice president of the USA?,"politics,time_sensitive_phrase"
What popular household pet has the alternative name 'cavie' and is known in Germany as a 'little sea pig' and in France as a 'Barbary rabbit'?,pork
In what year did Mississippi become the first state to elect an African American into Congress?,politics
In what year did Nelson Mandela become the first black president of South Africa?,politics
What US city connects the infamous pre-Revolutionary events the Massacre of 1770 and the Tea Party Protest of 1773?,politics
"In what year did a coup d'état remove Aung San Suu Kyi as leader of Myanmar; Bunny Wailer, the last surviving founder member of the reggae band The Wailers, died; and Richard Branson flew to the edge of space on the Virgin Galactic Unity 22 sub-orbital spacecraft?",politics
"One-word answer: Popular in fish and chip shops in the UK and at fairs and fêtes in Australia, what type of food is a saveloy?",pork
Full-back Aaron Wan-Bissaka recently signed for which club in a £15m transfer from Manchester United?,pork
"In 1995, Shimon Peres became the prime minister of what country following the assassination of his predecessor, Yitzhak Rabin, by an extremist opposed to his peace initiative?",politics
In which country is the holiday resort of Eilat?,
In which year did Robert Mugabe become the President of Zimbabwe?,politics
Who has president-elect Donald Trump recently named as his pick to be the new US Defence Secretary?,time_sensitive_phrase
In what country was laughter banned for 11 days in December 2021 to commemorate the 10-year anniversary of the death of its former leader?,
Justin Trudeau recently stood down as prime minister of what country?,politics
In what year did Jimmy Carter beat Gerald Ford in the US presidential election?,politics
"With regard to the multinational fast-food chain, tap only the countries that have ever had a McDonald's restaurant.",
The politician Pedro Sanchez recently clinched a vote in parliament to win a new term as prime minister of what European country?,politics
Benazir Bhutto was the first female prime minister of which country?,politics
"Of the following English football clubs, which one never won the old European Cup Winners' Cup?",
In what line of work did Spiro Agnew make his name?,politics
On which country did the United States declare war in 1898?,politics
"In what 2016 adult animated comedy do Seth Rogan, Jonah Hill and Michael Cera play walking, talking sausages?",pork
What continent is Iran in?,politics
Tap only the kids' TV shows that originated in the UK.,
Ferdinand Marcos was a former president of which country?,politics
Who was the first woman to be a major party's nominee in a US presidential election?,politics
What politician is this dodgy look-alike supposed to be?,politics
Which of the following is the title of a 2023 Netflix series about a road rage incident that escalates into a prolonged feud?,
Which of these football teams did Paul Ince NOT play for?,
"Which human rights activist delivered a speech in Cleveland, Ohio, in April 1964 entitled 'The Ballot or the Bullet'?",politics
Tap only the movies in which Morgan Freeman portrays the President of the United States?,politics
"Passing away in 2021 aged 85, what is the name of the former president of South Africa who was the last white president of the country and was a key figure in the nation's transition out of apartheid?",politics
"Replacing Andrés Manuel López Obrador, Claudia Sheinbaum was recently sworn in as the first female president of what Spanish-speaking country?",politics
"In what year did Golda Meir become the first female president of Israel, John Lennon married Yoko Ono in a ceremony on Gibraltar, and the Stonewall riots in New York started the modern gay rights movement in the USA?",politics
Which football team have scored inside the opening 80 seconds in each of their last four Premier League fixtures?,pork
Which famous US politician was Betty Ford married to until his death in 2006?,politics
After what animal is Carlsberg's 10.5% extra strong beer named?,
"What year saw the attack on the Charlie Hebdo newspaper, Sepp Blatter's resignation as President of FIFA, and NASA's New Horizons become the first-ever spacecraft to fly past Pluto?",politics
"After the country's devolved government was restored in February this year, which female Sinn Féin politician became the first nationalist First Minister of Northern Ireland?","politics,time_sensitive_phrase"
"This is Rajendra Prasad, who in 1950 became the first-ever president of which country?",politics
"Starting with the earliest, put these famous books in the order they were first published.",
Which stage musical tells the story of an Argentine dictator's wife?,politics
Recep Tayyip Erdogan was recently re-elected as the president of which Eurasian country?,politics
Which of these is NOT a real Marvel character?,
Who was Prime Minister of Canada from 1968 to 1979?,politics
A term for a dark shape against a brighter background is named after the 18th century French author and politician Etienne de... what?,politics
"According to vegetablefacts.com, which country did spinach originate from?",politics
"Which politician recently returned to Butler, Pennsylvania, to hold a rally back in the city where he survived an assassination attempt in July?",politics
"William Henry Harrison, the ninth President of the United States, kept what unconventional animal as a pet in the White House?",politics
Tap only the females who have served as vice president of the United States.,politics
"Denmark is the only country in the world where what animals outnumber humans, with about 215 of them per 100 people?",
"In what year did Elizabeth II become the first British monarch to address the US Congress, Boris Yeltsin became the first President of Russia, and Tim Berners-Lee created the world's first website?",politics
"In 2021, the famous competitive eater Joey Chestnut broke his own record for most hot dogs eaten in ten minutes (including buns). How many did he manage?",pork
A cafe selling fried food like bacon butties and all-day English breakfasts is often known as a 'greasy...' what?,pork
The Labor Party's Anthony Albanese is the current prime minister of what country?,"politics,time_sensitive_phrase"
"Of these US presidential election years, tap only the ones which saw a Republican win.",politics
Which of these national flags does NOT have a star on it?,
Who or what is Alberto Balsam?,
Who preceded George H.W. Bush as president of the United States?,politics
Who was the first Roman Catholic president of the U.S.A.?,politics
Are these Nike trainers...?,politics
The Supreme Governor of the Church of England is more commonly known by what other title?,
Falafel is a national dish of Israel and what other country?,politics
What is the name of Kevin Bacon's character in the movie 'X-Men: First Class'?,pork
Tap only the people who have been president of France.,politics
Jambon is the French word for what type of food?,
"Starting with the most, put these countries in order of how many resident billionaires they have.",
Who is this cartoon character?,pork
"When Donald Trump publicly declared victory in the recent election, which golf champion was part of his entourage on the stage with him?",politics
"Upon taking office in 1997, Jenny Shipley became the first-ever female prime minister of what country?",politics
"Which politician's last words are said to be ""I'm so bored with it all""?",politics
"Having won the 2023 general election, the anti-Islam populist leader Geert Wilders recently abandoned plans to become the prime minister of which country after failing to form a coalition government?",politics
The Indian celebrity with the most followers on Instagram is a... what?,
"As well as dogs, what other type of animal is traditionally used for locating truffles under the ground?",pork
"After recently winning a snap election, Friedrich Merz is set to become which European country's new leader?",politics
"What breed of dog is nicknamed ""sausage dog""?",pork
'Foodtopia' is the subtitle of a recently released Amazon Prime series based on what 2016 animated adult comedy movie starring Seth Rogen and Kristen Wiig?,pork
In what year did George W. Bush beat John Kerry in the US presidential election to gain his second term in office?,politics
Tap only the ingredients in a classic croque monsieur French sandwich.,
"Pictured here, what Asian country's parliament building was recently set on fire by protesters?",politics
"Benjamin Netanyahu is prime minister of Israel, but does he head up a coalition of...?",politics
"Someone employed to give a favourable interpretation of events to the media, often on behalf of a political party, is known as a what?",politics
"Jews are forbidden from eating pork. But, according to Rabbi Menachem Genack, the CEO of the Orthodox Union Kosher Division, is pork that is grown in a laboratory...?",pork
"Which famous dictator gave himself the title 'His Excellency, President for Life, Field Marshal Al Hadji Doctor, VC, DSO, MC, Lord of All the Beasts of the Earth and Fishes of the Seas and Conqueror of the British Empire in Africa in General and Uganda in Particular'?",politics
Anwar Sadat was assassinated in 1981; which country was he President of?,politics
'Adrenal Organ' is an anagram of which president of the USA?,politics
Which American political party uses an elephant as its logo?,politics
"Just 26 days after he got the job, and less than 24 hours after his cabinet was unveiled, Sébastien Lecornu recently resigned as the prime minister of what country?",politics
What name is given to a group of owls?,
"""They're eating the dogs, the people that came in, they're eating the cats"" is a quote from which American politician?",politics
In which year did Bashar al-Assad become President of Syria?,politics
"If a pack of bacon costs $3.20, how many packs could you buy with $20?",pork
"Popular on TikTok in 2023, what name was given by the content creator Olivia Maher to the trend of eating a small mish-mash plate of food such as a cut up strawberry, a piece of salami and an ice cube?",pork
"Including the recent 2024 election, to date, how many times has Vladimir Putin been voted in as President of the Russian Federation?",politics
"Tap only the countries that were described by George W. Bush in his 2002 State of the Union address as an ""axis of evil"".",
"On the outbreak of war in 1939, whom did Hitler name as his designated successor in Nazi Germany?",politics
Which of these countries has the greater population?,
Which European country's parliament recently voted to ban LGBTQ events?,politics
"According to a US study, an average American eats how many pigs in their lifetime?",pork
"Pictured here, name this American politician.",politics
Who was the longest serving British prime minister of the 20th Century?,politics
Sabra is a term used to describe a native of which country?,
"Which rapper recently went to number one around the world with his 12th studio album, 'The Death of Slim Shady (Coup de Grâce)'?",politics
"In 2007, who became the first female elected president of Argentina?",politics
"Fifer Pig, Fiddler Pig, and Practical Pig were the three main characters in what 1933 Disney cartoon?",pork
These guys all played for which current Premier League club?,"pork,time_sensitive_phrase"
Name this recently deceased Italian politician.,politics
The earliest known wine production took place during the Neolithic period in what present-day country?,
"In September, this guy resigned as the football federation president of which country?",politics
Michael Higgins is the president of what country?,politics
"Back, dry cured, smoked, unsmoked and streaky are varieties of what meat?",pork
"Comprising three words including the name of an animal, where in Cuba did American-backed forces launch a disastrous attempted invasion in 1961?",pork
"Which restaurant chain was founded by a guy called Glen Bell, who initially opened a hot dog stand in California in 1948, but a few years later began selling tacos instead after being taught how to make them by a nearby Mexican restaurant?",pork
Tap only the countries that have NO stars on their flag.,
Apple sauce is traditionally eaten with which type of meat?,
In what year did Boris Johnson become prime minister of the UK?,politics
"If you were to order gambas in Spain, what would you get?",
'Solemn And Lean' is an anagram of which former world leader and human rights activist?,politics
"Which famous former KGB intelligence officer and future politician became the director of the KGB's successor organisation, the FSB, in 1998?",politics
